,Cat Number,Site Number,Locality,Site,Name,Situation,AccNum,fileLocation
80,1562,nan," Indian Valley, lenae
nia.","

Maidu .", Burden basket.,,18,peabody_files/Accession Files/10/18_1562.pdf.png
81,1563,nan," “Bob's Camp"" (America:
Plumas Co. , Californiz",weave Maidu ?," Burden basket. willow

71“.. _--.L- M_#J__1 I!",,18,peabody_files/Accession Files/10/18_1563.pdf.png
82,1564,nan," American Valley, Plum:",almanac. wormananlp Maidu .," Basket made by nary Ha

—————— 27-1 ‘ A.- H1--_-",,18,peabody_files/Accession Files/10/18_1564.pdf.png
83,1565,nan, California., Miwok ., Basket made by a. chi,,18,peabody_files/Accession Files/10/18_1565.pdf.png
84,1566,nan, California.,". ulono Indian)
Sxte"," Cooking basket of will

_-LJ.-.._ “_‘_-L- ______",,18,peabody_files/Accession Files/10/18_1566.pdf.png
85,1567,nan,“unity California.,"_ Sierras. (Madera Co.
5“"" Yokuts ?", Basket _made_ 91’ the IOC,,18,peabody_files/Accession Files/10/18_1567.pdf.png
86,1568,nan,"“minty Camp on headwaters 0:
near Cass Diablo Spr‘", Mono Indian., Unfinished water-bot1,,18,peabody_files/Accession Files/10/18_1568.pdf.png
87,1569,nan," Lucy's camp, Yosemite", Miwok ., Basket made by a Grip}:,,18,peabody_files/Accession Files/10/18_1569.pdf.png
88,1570,nan," Camp at Williams Ra:
Lake, California.", (Mono Indian)," Cooking basket of n1

bn4ti+a sunny-IA “uni-Juan...",,18,peabody_files/Accession Files/10/18_1570.pdf.png
89,1571,nan, Unknown ., (Alaska Indian),N‘me Grass basket .,,18,peabody_files/Accession Files/10/18_1571.pdf.png
90,1572,nan, Unrecorded., HOpi Indian., Soiled basketry tray.,,18,peabody_files/Accession Files/10/18_1572.pdf.png
91,1573,nan, Unlm own ., Miwok .,Nlme Basket woven by a. ch11,,18,peabody_files/Accession Files/10/18_1573.pdf.png
92,1574,nan," ""Mary's camp"", Yosemi'
California.",. weave. (Yosemite Ind Miwok 7, DIYE’ng basket. Heed 1,,18,peabody_files/Accession Files/10/18_1574.pdf.png
93,1575,nan,"‘ Site No Camp near Ahwahnee, Me.","—~—- ULyJJLg 08.815513. U836. f
hulled acorns before ggigdin.

Inno'l ilk—3 --"" , A",nan,nan,18,peabody_files/Accession Files/10/18_1575.pdf.png
94,1576,nan," Lucy's Camp, Yosemite,", Hiwok., Cooking basket .,,18,peabody_files/Accession Files/10/18_1576.pdf.png
95,1577,nan,WW California.,"over p1ne roocs. ""Pme tree Maidu ? (Plumaa 00. I"," Bowl with standard. U

L 1,,_ _.JJ 1. A",,18,peabody_files/Accession Files/10/18_1577.pdf.png
96,1578,nan, California., (Mono Indian), Food basket. Paiute,,18,peabody_files/Accession Files/10/18_1578.pdf.png
97,1579,nan," Humboldt 00., Califon",, Papoose basket for dol,,18,peabody_files/Accession Files/10/18_1579.pdf.png
98,1580,nan,"MW Mary's cup, Californi","wpmn water BLOwiy amps, max flying. (Yosemite Indian", Maozzaorita cider atra},,18,peabody_files/Accession Files/10/18_1580.pdf.png
99,1581,nan,"Umdky Camp near Ooulterville
California.","

Southern Miwok ?", Container for small ar,,18,peabody_files/Accession Files/10/18_1581.pdf.png
100,1582,nan," ""?ary's camp” Califorr","

Miwok ."," Gathering basket. (Yo

on, IIA ?“__‘l__ll",,18,peabody_files/Accession Files/10/18_1582.pdf.png
101,1583,nan," Indian valley, Califo:","

Maidu ?","Nam 911p and gauogr,",,18,peabody_files/Accession Files/10/18_1583.pdf.png
102,1584,nan, California., Miwok?, Basket made by a child,,18,peabody_files/Accession Files/10/18_1584.pdf.png
103,1585,nan, California., (Modoo Indian), F9951 basket. Of grass,,18,peabody_files/Accession Files/10/18_1585.pdf.png
104,1586,nan," ""Soda springs camp“ ne
Valley, Plumae 00., Ca", (Modoo Indian),"

Bagket. of 5:98.}; used 1",,18,peabody_files/Accession Files/10/18_1586.pdf.png
105,1587,nan," ""Mary's camp“,Yosem1t<
California.", (Yosemite Indian) Miw," Burden basket of willo

”A --_¢I d- - __-_-",,18,peabody_files/Accession Files/10/18_1587.pdf.png
106,1588,nan," Camp at ""Pioneer"" in!
California.", Maidu ?, Basket and cover.,,18,peabody_files/Accession Files/10/18_1588.pdf.png
107,1589,nan, California., Modoc Indian .," Man's hat. 01’ grass,

n+m‘mm",,18,peabody_files/Accession Files/10/18_1589.pdf.png
108,1590,nan, California., Yosemite Indian. uiw, Individual food bowl.,,18,peabody_files/Accession Files/10/18_1590.pdf.png
109,1591,nan, California., (Modoc Indian), Grass basket. Woven 0‘,,18,peabody_files/Accession Files/10/18_1591.pdf.png
110,1592,nan," Camp on headwaters of
near ""Case. Diablo' Sp]",L?U. UH. auuuLu Mono Indian.," Fish basket. containi

mommdna ‘n nun-Lam ‘A 1-1.“ -A",,18,peabody_files/Accession Files/10/18_1592.pdf.png
111,1593,nan, California.,"

Yosemite Indian type.", Papoose basket for do,,18,peabody_files/Accession Files/10/18_1593.pdf.png
112,1594,nan, California.,09.1: we neatlng 81301188 men I Made of slender oak bran," Barry-18.. Used in at:

a--__. _-——.I A..- .__1_J'I A ___‘,j,,",,18,peabody_files/Accession Files/10/18_1594.pdf.png
113,1595,nan, Unrecorded.," California Indian, pos", Pedestaled bowl.,,18,peabody_files/Accession Files/10/18_1595.pdf.png
114,1596,nan,L°°81ity Unrecorded .," California Indian, nos", Small basket bowl.,,18,peabody_files/Accession Files/10/18_1596.pdf.png
115,1597,nan,Want)” Unrecorded.," California Indian, pos", Small basketry bowl.,,18,peabody_files/Accession Files/10/18_1597.pdf.png
116,1598,nan, Unreoorded.," California Indian, pos", Small basket .,,18,peabody_files/Accession Files/10/18_1598.pdf.png
117,1599,nan, Unrecorded .,"

California Indian, po",N?me Small basket .,,18,peabody_files/Accession Files/10/18_1599.pdf.png
118,1600,nan,WW Unrecord ed," California Indian, prc", Small water bottle - u,,18,peabody_files/Accession Files/10/18_1600.pdf.png
119,1601,nan,WW Unrecorded.," California Indian, prc", Small Manzanita cider,,18,peabody_files/Accession Files/10/18_1601.pdf.png
120,1602,nan, Unreoorded .," California Indian, pos",N-me Cradle.,,18,peabody_files/Accession Files/10/18_1602.pdf.png
121,1603,nan,' MW Unrecorded., HOpi Indian.,nan,,18,peabody_files/Accession Files/10/18_1603.pdf.png
