,Cat Number,Site Number,Locality,Site,Name,Situation
100,Cat. No. 1582,,"Locality ""?ary's camp” California.","Site

Miwok .","Name Gathering basket. (Yosemite Indian)l

on, IIA ?“__‘l__ll",Situation
101,I Cat. No. 158,,"Locality Indian valley, California.","Site

Maidu ?","Nam 911p and gauogr,",Situation
102,I Cat. NO. 1584,,‘ Locality California.,Site Miwok?,Name Basket made by a child.,Situation
103,I Cat. No. 158!,,Locality California.,Site (Modoo Indian),Name F9951 basket. Of grass woven over,Situation
104,I Cat. No. 1581,,"Locality ""Soda springs camp“ near Indian
Valley, Plumae 00., California.",Site (Modoo Indian),"Name

Bagketpf 3:98.}; used. in cooking -",Situation
105,| Cat. No. 1585,,"Locality ""Mary's camp“,Yosem1te Valley,
California.",Site (Yosemite Indian) Miwok.,"Name Burden basket of willow. Typical

”A --_¢I d- - __-_-",Situation
106,| Cat. No. 158!,,"Locality Camp at ""Pioneer"" in American Valley
California.",Site Maidu ?,Name Basket and cover.,Situation
107,Cat. No. 1589,,Locality California.,Site Modoc Indian .,"Name Man's hat. 01’ grass, woven over I

n+m‘mm",Situation
108,Cat. No. 1590,,Locality California.,Site Yosemite Indian. uiwok ?,Name Individual food bowl.,Situation
109,Cat. No. 1591,,Locality California.,Site (Modoc Indian),Name Grass basket. Woven over string. I,Situation
110,Cat. No. 1592,,"Locality Camp on headwaters of Owens River,
near ""Case. Diablo' springs, 0&1.","L?U. UH. auuuLu.
Site Mono Indian.","Name Fish basket. containing catch, is

mommin‘ ‘n nun-Lam ‘A 1-1.“ -AA1 ’- --_— I",Situation
111,Cat. No. 1593,,Locality California.,"Site

Yosemite Indian type.

Miwok .",Name Papoose basket for doll.,Situation
112,| Cat. No. 1594,,Locality California.,"01:11: tne neatmg 81301188 wnen they have 00016
Site Made of slender oak branch. '","Name Barry-18.. Used in stirring the

a--__. _-——.I A..- .__1_J'I A ___o 1,,",Situation
113,| Cat. No. 1595,,Locality Unrecorded.,"Site California Indian, possibly Maidu.",Name Pedestaled bowl.,Situation
114,I Cat. No. 1591,,L°°81ity Unrecorded .,"Site California Indian, possibly Maidu.",Name Small basket bowl.,Situation
115,| Cat. No. 1591,,Want)” Unrecorded.,"Site California Indian, possibly Maidu.",Name Small basketry bowl.,Situation
116,I Cat. No. 159E,,Locality Unreoorded.,"Site California Indian, possibly Maidu.",Name Small basket .,Situation
117,Cat. No. 1599,,Locality Unrecorded .,"Site

California Indian, possibly Liaidu. I",N?me Small basket .,Situation
118,Cat. No. 1600,,WW Unrecord ed,"Site California Indian, nroba: 1y mono. I",Name Small water bottle - unfinished. I,Situation
119,Cat. No. 1301,,WW Unrecorded.,"Site California Indian, probably Miwok. I",Name Small Manzanita cider strainer. I,Situation
120,Cat. No. 1602,,Locality Unreoorded .,"Site California Indian, possibly Maidu. I",N-me Cradle.,Situation
121,I Cat. No. 160‘,,' MW Unrecorded.,Site HOpi Indian.,Name Coiled basketry tray..,Situation
122,I Cat. No. 160.,,Locality Unrecorded.,5‘“ Hopi Ind ian .,Name Coiled basketry tray.,Situation
123,Cat. No. 1605,,W381“! Unreoorded.,Site Hopi Indian .,Name Coiled basketry tray.,Situation
124,I Cat. No. 1606,,"Locality Burlington County, New Jersey.",Site,". Name

Celt.",Situation
125,Cat. No. 160?,,"Locality Burlington County, New Jersey.",Site,"Name

Gouge .",Situation
126,Cat. No. 1608,,"Locality Burlington County, New Jersey.",Site,Name Spearhead.,Situation
127,Cat. No. 1609,,"Locality Burlington County, New Jersey.",Site,N?me Knife.,Situation
128,| Cat. No. 161(,,"Locality Burlington County, New Jersey.",Site,Name Arrowpoint .,Situation
129,I Cat. No. 161:,,"Locality Burlington County, New Jersey.",Site,I Name Arrowpoint .,Situation
