,Cat Number,Site Number,Locality,Site,Name,Situation
2986,| Cat. No. 133;,,Locality N . Labrador.,Site HOpedale .,Name 2 fragments of mica.,Situation
2987,I Cat. No. 138,,Locality N. Labrador.,Site Hopedale.,"—- v —

Name Bone ail, point broken",Situation
2988,I Cat. No. 133,,beauty N. Labrador.,Site Hop edal e .,"NW Small bone an, point",Situation
2989,,,"Site No.

Locality N. Labrador.","Q '1 V Ii- U“‘V‘

or needles.

U VMU

iwysc",,
2990,,,"Site No.

Locality N. Labrador.",OOH-gnu“ IID VJ» IIUL'LUU.,,
2991,,,"Site No.

Local“Y N. Labrador.",,,
2992,,,"Site No.

WW N. Labrador.",Dune-nanqu non hut,,
2993,,,"Site No.

Locality N . Labrador.",u yua- v1. 1““.sz nun.“,,
2994,,,"Site No.

1-0081“? N. Labrador.","“ovum VH‘VUII U‘ ""u“:",,
2995,,,"Site No.

Locality N. Labrador.","0""...

“name"" 01 none, nth",,
2996,,,"Site No.

““1“? N. Labrador.","uvuv m‘yvuu DUULGD, U",,
2997,,,"Site No.

Locality N. Labrador.","aqua; cu.

$303

01

Done 0",,
2998,,,"Site No.

Locality N . Labrador.","vv cu. ydvuw

spoonlike.

UL

$J§Uu US",,
2999,,,"Site No.

WW N. Labrador.",c-wv BULG’IV‘.,,
3000,,,"Site No.

Locality (53151, acroas_ channel",“III-W 0 places or “1030,,"\J

N. Labrador.)"
3001,,,"Site No.

Locality Iald. across channel I

_L__ .3 ._","Linemcuu? UJ.

DUKE a",,N . Labrador.
3002,Cat. No. 1381,,"de?y 151d. across channel 1
N. Labrador.",Site Little Hepedale.,Nme Thimble .,Situation
3003,Cat. No. 1333,,"hmd?y 131d. across channel 1
N. Labrador.",Site Little Hopedale.,"Name 4 piece: of 1ron,th1n",Situation
3004,| Cat. No. 133:,,"Locality 131d. near Hopedale, I",Site Little'1preda1e.,"Name Brass button, roll of",Situation
3005,,,"Site No.

Wit? Near Hopedale. N. Lab-n","mm: 3 pieces of wood par:
lashings, probabiy-‘na:",,"Hutu;

WUL‘."
3006,,,"Site No.

L°°ality Near Hopedale, N. Lab:","’-UUV V‘ ""UV“,

Probably part of kayak",,
3007,I Cat.No. 1381,,"Locality Near Hepedale, N. Lab:","Kayak.
Site Little Hopedale.",,Situation
3008,I Cat. No. 138‘,,"Locality Near Hopedale, N. Lab:",Site Little Hapedale.,"Name looden stick. Bwplleq

___‘___J__s _",Situation
3009,I CIt.No. 138‘,,"Locality Near Hopedale, N. Lab:","kay or wooden bowl.
Site Litt e HOpedale.",I Nam g 11:}:th decayed wooden,Situation
3010,,,"Locality Near Hepedale, N. Lab:",Site Little Hapedale.,Name Lamp 0: ateatite.,Situation
3011,I Cat. No. 139(,,"Locality Near Hepedale, N. Lab:",Site Little Hopedale.,Name 2 modern page for atrl,Situation
3012,I Cat. No. 139:,,"Locality 15 2111. me. Hopedale,",Site Spirit Island.,"Name Iyory lgagpoox}, 01d.",Situation
3013,I Cat. No. 139,,"Locality 15 mi. ISLE. Hopedale,",Site Spirit Island.,N'lme Smaglgntler comb. Bl,Situation
3014,I Cat. No. 139,,"I Locality 15 m1. N.E. Hopedale,",Site Spirit Island.,Name Small ironpyrites nod,Situation
3015,I Cit. N0. 1391,,"Locality 15 mi. N.E. Hepedale,",Site Spirit Island.,,Situation
3016,I Cat. No. 1391,,"Locality 15 m1. N.E. Hopedale,",Site Spirit Island.,,Situation
3017,| Cat. No. 139!,,"Locality 15 mi. N.E. Hapedale,",Site Spirit Island.,Name slab '0: slate.,Situation
3018,I Cat. No. 139,,"Locality 15 m1. N.E. EOpedale,",Site Spirit I 818116..,Nme Corner of soapstone ve,Situation
3019,I Cat. No. 139,,"’ Locality 15 mi. N.E. Hopedale,",Site Spirit Island.,Name garner 91' hggvy aoapat,Situation
3020,Cat. No. 1399,,"Locality 15 mi. N.E. Hopedale,","Site

nancue 8815 1:1 011‘. enu.
Spirit Island.","Name End of heavy soapstone

A_A-.__J -_.l ___j -_._.I___",Situation
3021,| Cat. No. 140‘,,"Locality 15 mi. N.E. Hopedale,","pOBBlDLy '50 menu p012.
Site Spirit Island.","Name Broken 'end. of cooking

_L_-LJL- '_A_ L_-'I_ 1",Situation
3022,Cat. No. 1401,,Locality 15 mi. N.E. HOpedal,"Site

Spirit.",Name 2 fragments of calo:,Situation
3023,l Cat.No. 1402,,Locality Island nr. Hopedale.,Site,Name Two fragmentap? p911},Situation
3024,l Cat.No. 1402,,"Locality 6 mi. N.W. September]
Nain), N. Labrador.",Site,"Name looden artifact with r

15...! ___-.1 .5: In_:",Situation
3025,I Cat. No. 1404,,"Locality 6 mi. N.W. September!
Nain), N. Labrador.",Site,"Name 4 fragments of old woo

I... -1. _--LL -_AA __.1 Al _",Situation
3026,,,"Site No.

Locality 6 mi. N.W. September I

u-4..\ ‘7 7-1...-4-..","vvuvu UVVV‘I, III-v“ ""VI.",,"348.111), N. uaorauor."
3027,,,"Site No.

Locality 6 mi. N. W. September 1

‘v_1_.\ v-1.__:__","“u"" DUUGULUU 1."") U. DING-Jul. C

Perforatione at cornea

_'I-_._ ..__..- —l...",,"Nam), N. Labrador."
3028,Cat. No. 1407,,"Locality 6 mi. N.W. September;
Nain), N. Labrador.",Site,Name Perfect model steatite,Situation
3029,I Cat.No. 1401,,"Locality 6 mi. N.W. September:
Nam), N. Labrador.",Site,Name Broken nodule iron py:,Situation
3030,Cat. No. 1 409,,"Locality 6 m1. N.W. September]
Nain), N. Labrador.",Site,"Name Fragment of wooden ham

null Ottawa-‘6 A? 4mg“ $-",Situation
3031,I Cat. No. 1414,,"Locality 6 mi. NAN. September:
Nain), N. Labrador.",Site,Name Ivory hafpgon pygmy.,Situation
3032,Cat. No. 141].,,"Locality 6 mi. N.W. September?
Nain), N. Labrador.",Site,Name Small what at one.,Situation
3033,I Cat. No. 141:,,"Locality 6 mi. N.W. September:
Nain), N. Labrador.",Site,Name Carved 118.3111th of am,Situation
3034,Cat. No. 1413,,Locality So. Baffinland .,"Site Brewsters Point, Frobi",Name 5 small eroee of work,Situation
3035,| Cat. No. 1414,,"I Locality Frobisher Bay, 80. Ben",Site Brewsters Point .,"Name 6 small sections of wh

-1 4-3...- u....__ __.- __-_-.s",Situation
3036,Cat. No. 1415,,"Locality Frobisher Bay, So. Ba",Site Brewsters Point.,Name Cross-section of sawed,Situation
3037,I Cat. No. 14ll,,". Locality Frobisher Bay, 30. Baf",Site Brewsters Point .,,Situation
3038,Cat. No. 1417,,"Locality Frobisher Bay, So. Bad","ano. anocner OI lVOI’y.
Site Brewsters Point.","Name 3 trace buckles, 1. of

-1.‘ J---—-_ _J 4.1,. -‘-.I-",Situation
3039,| Cat. No. 1418,,"Locality Frobisher Bay, 80. Ba:",Site Brewstere Point .,Name Broken 1y9ry harpoon p,Situation
3040,I Cat. No. 1419,,"Locality Frobieher Bay, 80. Ba:",Site Br ewst ere Point.,Name Small chipped quartzit,Situation
3041,,,"Site No.

Locality Frobisher Bay, 80. Baf","AID-MU U-Lu- WJ.bu 'UUu-Uu “81104.8

and blade .",,
3042,Cat. No. 1421,,"Locality Frobisher Bay ,",Site Brewsters Point,"Name Wooden handle 1""",Situation
3043,I Cat. No. 1421,,"Wit? Frobisher Bay, So. Ba:",". perforations l with w
5“ Brewsters Point.",Name 6 lairg? pieces 9:? Bled,Situation
3044,I Cat. No. 142;,,"Imam}? Frobisher Bay, So. Bai",Site Brews’c ers Point .,,Situation
3045,Cat. No. 1434,,"Locality Frobisher Bay, 80. B81",Site Brewsters Point .,Nine Rolled iron tube paint,Situation
3046,| Cat. No. 142:,,"Locality Frobisher Bay, 80. Bat",Site Brewsters Point.,Name 2 decorated clay pipes,Situation
3047,| Cat. No. 148!,,Locality So . Baffinland .,"Site Brewst ere Point , Frobi","Name Sawed off end of large

1-.....",Situation
3048,| Cat. No. 1421,,"Locality Frobisher Bay, 80. Ba:",Site Brewstere Point.,Name Leather bag for water,Situation
3049,Cat. No. 1428,,Locality So . Baffinland .,Site Brewst ere Point .,Name Wooden tool with,Situation
3050,I Cat. No. 1421,,"Locality Near Nain, Labrador.",Site Nukasuj uktok Isld .,NW Fragment of large atea,Situation
3051,Cat. No. 1430,,Locality Near Nain Labrador.,Site Nukasuj uktok I 31d .,Name Broken corner of steat,Situation
3052,I Cat. No. 143;,,"Locality Near Nain, Labrador.",m Nukasujuktok Isld.,m,Situation
3053,| Cat. No. 143:,,"Locality Near Nain, Labrador.",Site Nuka sujuktok Isld.,"Name Large NW

15-....1. ‘A-n—A .I_-.I A- _.l",Situation
3054,Cat. No. 1433,,"Locality Near Nain, La",Site Nuka qu uktok 1,"Name Small triangu'

_J__A.L.I.L_ u---",Situation
3055,I Cat.No. 143‘,,"Locality Near Nain, Labrador.",Site Nukasujuktok Isld .,m,Situation
3056,Cat. No. 143!,,"l Locality Near Nain, N. Labrado:",Site Nukasujuktok I 31d .,Name Quartzi‘te scraper.,Situation
3057,l Cat.No. 1.43!,,"Locality Near Nain, N. Labrado:",Site Nukasujukt ok I ald .,Name Chipped point of clear,Situation
3058,| Cat. No. 14-31,,"‘ Locality Near Nain, N. Labrado:",Site Nukasujukt ok I 31d.,Name Small even-faced scrap,Situation
3059,| Cat. No. 143!,,"| Locality Near Nain, N. Labrado:",Site Nukasuj ukt ok 131d.,Name Two small nodules of 1,Situation
3060,| Cat. No. 1431,,", Locality Near Nain, N. Labrado:",Site Nukasujuktok Isld.,Name Small nodglept light,Situation
3061,Cat. No. 1440,,"Locality Near Nain, N. Labrado:",Site Nukasuj uktotk Isld.,Name Stone concret ion.,Situation
3062,I Cat. No. 144],,"Locality Near Nain, N. Labrado:",Site Nukasujuktok I 61d.,Name § shards 913 red potte:,Situation
3063,I CALNO. 1442,,". Locality Near Nain, N. Labrado:","_ forated. around edges.
Snte Nukasujuktok 131d.",Name 8 fragmgnps of {skin wi,Situation
3064,| Cat. No. 1442,,"Locality Near Nain, N. Labrado:",Site Nukasuj ukt ok I 816. .,Name 2 white sca110p shells,Situation
3065,I Cat.No. 144‘,,"I Locality Near Nain, N. Labrado:","rivets.
Site Nukasuj ukt ok I 31d.",Name gong handle for steel-,Situation
3066,Cat. No. 1445,,"Locality Near Nain, N. Labrado:",Site Nukasujuktok I 51d .,"Nme Bone harpoon socket.

a).",Situation
3067,Cat. No. 1446,,"Locality Near Nain, N. Labrado:","onner. 4 man penor
Site Nukasujuktok Isld.","Name Large piece of whalebo

-_____ ____ ___.1 __.I.LL -—",Situation
3068,I Cat. No. 1449,,"1 Locality Near Nain, N. Labrado:","mac or wnalebone sledge runn
Site Nukasujuktok 151d.",Name Long p1e9_e_ o_£_whalgbon,Situation
3069,| Cat. No. 1448,,"Locality Near Nain, N. Labrado:",Site Nukasuj uktok 131d.,Name 6 fragments of worked,Situation
3070,Cat. No. 1449,,"Locality Near Nain, N. Labrado:",Site Nukasujuktok I 31d .,Name End fragment from stee,Situation
3071,I Cat. No. 145(,,"Locality Near Nain, N. Labrado:

\
x",Site Nukasuj ukt ok Isld .,"Name groken portion of atea

__\",Situation
3072,I Cat. No. 145:,,"' Locality Near Nain, N. Labrado:","pot .
Site nuk‘as?juktok 181d.",Name Lang fragggntg of end,Situation
3073,I Cat. No. 1451,,"J Locality Near Nain, N. Labrado:",Site Nukasuj uktok I 31d.,I Name Frqgmgnt of Bteatite v,Situation
3074,| Cat. No. 1452,,"‘ Locality Near Nain, N. Labrador",Site Nuka euj ukt 01-: I 81d .,Name Two fragmgntspf worke,Situation
3075,| Cat. No. 145‘.,,"‘ Locality Near Nain, N. Labrado:",Site Nukasuj uktok I 81d .,Name Two fragments of old I:,Situation
3076,l Cat.No. 1455,,"Locality Near Nain, N. Labrado:",Site Nukasujuktok Isld.,Name Artifact of birch bark,Situation
3077,I Cat. No. 145E,,"Locality Near Nain, N. Labrado:",Site Nukasuj uktok 131d.,Name 2 fragmegts of bgggn,Situation
3078,Cat. No. 1457,,"Locality Near Nain, N. Labrado:",Site Nuke suj ukt ok Ield.,Name Fragment of old skin.,Situation
3079,(13th 1458 ‘,,"Locality Near Nain, N.",Site Nukasujuktok,Name Tip of kayak,Situation
3080,I CELNO. 145$,,"' Locality Near Nain, N. Labrado:",Site Nuke. suj ukt ok I 81d .,Name White quartzite ohippe,Situation
3081,I Cat. No. 146(,,"Locality Near Nain, N. Labrado:",Site Nukasuj ukt ok I 31d.,Name Chipped piece of white,Situation
3082,I Cat.No. 146:,,"Locality Near Nain, N. Labrado:",Site Nukasuj ukt Ok I 81d. .,Name 3 pieces of thin cOppE,Situation
3083,| Cat. No. 146:,,"Locality Near Nain, Labrador.",Site Nukasujuktok I 51d.,"Name Piece of thin ""lead"" (;",Situation
3084,Cat. No. 1463,,"Locality Near Nain, Labrado",Site Nuke. sud mm 01: I 31d .,"Name 3 pieces of iron m

_.l --- 4L1. —.I__.L-",Situation
3085,Cat. No. 1484,,"Locality Near Nain, Labrador.",Site Nukasujuktok Isld.,Name Lump of red brick-like,Situation
3086,Cat. No. 1455,,"Locality Near Nain, Labrador.",Site Nukasujuktok Isld .,Name Large piece of whalebo,Situation
3087,I Cat. No. 1434,,"Locality Near Nain, Labrador.","smoovnea 011 0
Site Nukaeujukt ok I sld .","Name Heavy piece of whalebo

INA—-3 _..A .__--_AA -4. _",Situation
3088,Cat. No. 146?,,"Locality Near Nain, Labrador (I",Site Nuke suj ukt ok I 516. .,"Name Long, club-like obj act",Situation
3089,Cat. No. 1468,,"Locality Near Nain, Labrador.",Site Nuka Buj ukt ok I 31d .,Name Piece of worked whaleb,Situation
3090,| Cat. No. 1465,,"Locality Near Nain, Labrador.",Site Nukasuj ukt ok I 31d .,Name 2 small pieces of work,Situation
3091,Cat. No. 1470,,"Locality Near Nain, Labrador.",Site Nukasujuktok Isld.,Name 7 pieces of worked wha,Situation
3092,‘Cat. No. 1471,,"Locality Near Nain, Labrador.",Site Nuka. sud ukt ok I 31d .,"Name Welldworked fragment 0

.....'I1",Situation
3093,Cat. No. 1472,,"Locality Near Nain, Labrado:",Site Nukasujuktok Isld .,"Name Small round tip of

Pvnn-mn'n‘h n‘? nut 'hnn",Situation
3094,| Cat. No. 1471,,"Locality 310a:- 7"""": -‘-~»

.1 had.-.",,"l

I Name Fragment of bar}: or we",Situation
3095,Cat. No. 1474,,Ln‘rvT‘a? or .,"«.4-

Site IT"" ""9. suj 111:? o}:

w","Name Small sawed off sectic

nwd T's-""ran“ nsv?ivna mAn¥",Situation
3096,| Cat. No. 147!,,"Locality Near Nain, Labrador.",Site Nukasuj ukt ok Isld.,"Name Section 01' whalebone a

_.‘_.D___.L-A A-.. 4.1 H.",Situation
3097,Cat. No. 1476,,"Locality Near Nain, Labra",Site Nuka suj ukt ok I 81‘,"Name 3 broken fragmen'

n1 ado-n nrrm 9TH -",Situation
3098,Cat. No. 1477,,"Locality Near main, Labrador.",Site Nukasujukt ok Isld.,"Name Foreshaft of. harpoon,",Situation
3099,Cat. No. 1478,,"Locality Near Nain, Labrador.",Site Nukasuj ukt ok I 51d .,Name Foreshaft and blade 01,Situation
3100,| Cat. No. 147‘.,,"Locality Near Nain, Labrador.",Site Nukasuj uk‘b ok I 51d.,"Name Bone foreahatt of 1:111

4...; __A J_-_ L'IA.._ ,",Situation
3101,l cgt. No. 148(,,"Locality Near Nain, Labrador.",Site Nukasujukt ok Isld.,"Name Ivory socket for harpo

,A‘_.§_._. ,-_.L‘___ A! _I.,_-",Situation
3102,| Cat. No. 1481,,"Locality Near Nain, Labrador.",Site Nukasuj uktok I 816..,Name Snow knife of whalebon,Situation
3103,I Cat. No. 148:,,"Locality Near Nain, Labrador.",Site Nukasuj uktok Isld.,Name Broken p1_.epe of‘yooden,Situation
3104,Cat. No. 1483,,"Locality Near Nain, Labrado:",Site Nukasuj uktok Isld.,"Name ""Killing iron.“ Sma",Situation
3105,I Cat. No. 1484,,"Locality Near Nain, Labrador.",Site Nukasuj ukt ok I 81d .,Name _7 s_1<mder iron dart p0,Situation
3106,Cat. No. 1485,,"Locality Near Nain, Labrador.",Site Nukasujuktok 131d.,Name 4 iron blades for arro,Situation
3107,I Cat. No. 148!,,"Locality Near Nain, Labrador.",Site Nukasuj ukt ok I 81d .,' Name _1_o1d iron saw blade 8.,Situation
3108,"I'—
Cat. No. 148';",,"Locality Near Nain, Labrador.",Site Nukasuj uktok I 81d.,"Name Iron blade of crooked

-3 1—-.. .D--J.A_.-_1 __-__._",Situation
3109,I Cat. No. 1481,,"Locality Near Nain, Labrador.","with Leather.
Site Nuka suj uktok Isld.",Name Lead wrapped three _1ro,Situation
3110,Cat. No. 1.489,,"Locality Near Nain, N.",Site Nukasuj uktok I,"Name Iron bit and p‘

_._-J.-_‘I .I _-.-",Situation
3111,I Cat. No. 149C,,"Locality Near Nain, N. Labrado:",Site Nukasuj uktok I 81d.,Name Round—headed iron weds,Situation
3112,I Cat. No. 1491,,"Locality Near Nain, N. Labrado:",Site Nukasuj uktok I 81d .,Name Iron hook.,Situation
3113,Cat. No. 1492,,"Locality Near Nain, N. Labrado:",Site Nukasuj ukt ok I 816. .,Name Bone harpoon socket.,Situation
3114,Cat. No. 1493,,"Locality Near Main, 1\‘",Site Nukasujukt ok,Name Wooden spool,Situation
3115,| Cat. No. 1494,,"Locality Near Nain, N. Labrado:",Site Nuka sujuktok 131d .,Name Broken wooden artifact,Situation
3116,Cat. No. 1495,,MW Near Nai,Site Nukasuju‘,Name Rectangu,Situation
3117,Cat. No. 1496,,"Locality Near Nain, N. Labrac‘",Site Nukasujuktok I sld.,"Name Antler comb, double-4",Situation
3118,I Cat. No. 149'.,,"Locality Near Nain, N. Labrado:",Site Nukasujukt ok Isld.,Name Flat antler artifact.,Situation
3119,I Cat. No. 149!,,"Locality Near Nain, N. Labrado:",Site Nukasujukt ok Isld.,Name Wooden handle of ulu I,Situation
3120,,,"Site No.

Wit? Near Nain. N

148137.”!an",name Broken wooden 11111 star:,,
3121,Cat. No. i500,,"Locality Near Nain, N. Labrado:","Site

type.
Nukasujuktok Isld.","Name Small bone artifacts,

._ In‘ ,,.3 -I .5.., Am‘-",Situation
3122,I Cat. No. 150],,"Locality Near Nain, N. Labrado:",Site Nukasujuktok Isld.,Name 2 fragments of wooden,Situation
3123,I Cat. No. 150;,,"Locality Near Nain, N. Labrado:",Site Nukasujukt o}: I 81d.,Name 3 wooden fragments of,Situation
3124,,,"Site No.

Locality Near Nain, N. Labrado:",,,
3125,Cat. No. 1504,,"Locality Near Nain, N. Labrado:",Site Nukasujuktok Isld.,Name 3 pieces of cepper.,Situation
3126,| Cat. No. 150:,,"Locality Near Nain, N. Labrado:",Site Nukasujuktok 131d.,Name 2 small fragments of 1,Situation
3127,Cat. No. 1506,,"Locality Near Nain, N. Labra",Site Nukasuj ukt ok I 81d .,Name 2 small fragments o:,Situation
3128,Cat. No. 1507,,"Lwality Near Nain,",Site Nuka suj ukt o,Name 6 nodules o,Situation
3129,I Cat. No. 150!,,"Locality Near Nain, N. Labrado:",Site Nukasuj uktok 181d.,Name Elliptical waterworn I,Situation
3130,| Cat. No. 1509,,"Locality Near Nain, N. Labrado:",". ena.
Site Nukasujukt ok I 81d .","Name String of various-size

.ILI",Situation
3131,| Cat. No. 151(,,"Locality Near Nain, N. Labrado:",Site Nukasujuktok 181d.,Name String of small bone 1,Situation
3132,| Cat. No. 151],,"Locality Near Nain, N. Labrado:",Site Nuka sujukt ok Isld.,Name string_o_£_11!. small lee,Situation
3133,Cat. No. 1 512,,"Locality Near Nain, N. Lab:","Site

Irlnge.
Nukasujuktok Isld.","Name String of perforat

#_J_L.L_ __-1.-1.'I__ .",Situation
3134,| Cat. No. 1512,,"Locality Near Nain, N. Labrado:","w1re .
Nukasuj uk‘b ok I 31d.",Name 10 fragments of stripe,Situation
3135,| Cat. No. 151‘.,,"Locality Near Nain, N. Labrado:",Site Nukasuj ukt ok I sld .,"Name String of glass beads

, AL 1 A",Situation
3136,I Cat. No. 151‘,,"Locality Near Nam, N. Labrado:",Site Nukasujukt ok Ield.,,Situation
3137,| Cat. No. 1516,,"Locality Near Nain, N. Labrado:","ment, and 3 fragments
Site Nukasujuktok Isld.",Name Large 091.3133? 1331.313???,Situation
3138,| Cat. No. 1511,,"Locality Near Nain, N. Labrado:",Site Nukasuj uktok 181d.,Name 2 pieces of copper has,Situation
3139,Cat. No. 1518,,"Locality Near Nain, N. Labrado:","_ r1vets, and Iragmem: c
Slte Nukasuj uktok Isld.","Name Wooden handle of ulu,

,_ ,ML‘I __ ,__.L _n A“-",Situation
3140,Cat. No. 1319,,"Locality Near Nain, N. Labrado:",Site Nukasujuktok I 31d.,"Name Large pewter spoon, ?ne}",Situation
3141,I Cat. No. 1521,,"‘ Locality Near Nain, N. Labrado:",Site Nukasuj ukt ok I 91d.,I Name Frégmentary wooden art,Situation
3142,Cat. No. 1531,,MW Near Nai,Site Nuka suj u,Name Wooden w,Situation
3143,I Cat. No. 152;,,"| Locality Near Nain, N. Labrado:",Site Nuka suj 11kt ok I sld .,Name Small horn' artifact.,Situation
3144,Cat. No. 1523,,"Locality Near Nain, N. Labrado:",Site Nukasujukt ok Iald.,Name 9 fragments of pyritee,Situation
3145,| Cat. NO. 1524,,"‘ Locality Near Nain, N. Labrado:","rrgent of wood, possibly hand]
Site ment of antler stem. 2 i",Name Antler stgm 9f ul}1_w:|_.1,Situation
3146,l Cat.No. 1522,,"Locality Near Nain, N. Labradoa","bark or root lashings.
Site Nukaaujuktok Isld.",Name 3 fyagxpente gf‘wooden,Situation
3147,Cat. No. 1535,,"[Milky Near Nain, N. Labrado:",Site Nukasuj ukt ok I sld .,Name Fragment of wooden p18,Situation
3148,| Cat. No. 1531,,"| Locality Near Nain, N. Labrado:",Site Nukasujuktok Ield.,Name 8 large nodules of irc,Situation
3149,| Cat. No. 152i,,"Locality Near Nain, N. Labrado:","suspenslon.
Nukasujuktok Isld.","Name 8 portions of pewter e

-I_JA ,;u 7,, An -A-",Situation.
3150,Cat. No. 1539,,"Locality Near Nain, N. Labrado:",Site Nukasuj uktok I 51d .,Name Fragment of wooden con,Situation
3151,| Cat. No. 153(,,"Locality Near Nain, N. Labrado:",Site Nukasujukt ok I 31d .,Name Small string of lead 0,Situation
3152,Cat. No. 1531,,"Locality Near Nain, N. Labradc",Site Nukasujuktok I sld.,Name Small string of beads,Situation
3153,| Cat. No. 1532,,"Locality Near Nain, N. Labrado:",Site Nukasujuktok Isld .,"Name Small capper or brass

L. j,~mq A",Situation
3154,Cat. No. 1533,,Locality Island 5 mi. e. of 20;,Site,"Name Dark stone ground adze

J._- _-_J. _",Situation
3155,Cat. No. 1534,,Locality Island 5 mi. 3. of 20;,Site,"Name Adze blade of green 32

A‘ --",Situation
3156,Cat. No. 1535,,Locality Island 5 mi.e. of 208,Site,"Name Thin adze, small. Of",Situation
